constraint_suite,method,seed,grid_size,rm_variant,rm_input_mode,rm_hidden,rm_layers,outer_iter,true_eval_return,learned_eval_return,true_ndh,true_ndh_norm,true_autc,true_autc_norm,reward_model_drift,reward_model_pref_accuracy,approx_policy_kl,preference_dataset_size,rm_updated,clip_epsilon,clip_eps_base,critic_error,kl_coef,kl_target,ref_policy_kl
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,0,-0.2233333333333336,-1.8885416408379874,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.00013656038269502544,128,0,nan,nan,nan,0.1,0.02,0.0005359875762628184
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,1,-0.1266666666666669,-0.6201980551083882,0.0,0.0,-0.17500000000000027,0.5,0.0,0.7833333333333333,0.0002991288757181434,128,0,nan,nan,nan,0.1,0.02,0.0007436813062263859
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,2,-0.07400000000000023,-0.6737624814112981,0.0,0.0,-0.1376666666666669,0.5736607142857144,0.0,0.7833333333333333,0.0005015038137673517,128,0,nan,nan,nan,0.1,0.02,0.0018269516941573885
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,3,0.17399999999999974,-0.48840493659178413,0.0,0.0,-0.07511111111111135,0.37304250559284124,0.0,0.7833333333333333,4.563428786423055e-05,128,0,nan,nan,nan,0.1,0.02,6.853012988964716e-05
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,4,0.3399999999999998,0.40191840728123984,0.0,0.0,0.007916666666666433,0.4105029585798816,0.0,0.7833333333333333,0.00025828311201954294,128,0,nan,nan,nan,0.1,0.02,0.0008168855888975991
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,5,0.3066666666666665,-1.2262204378843307,-0.033333333333333326,-0.05917159763313607,0.07099999999999974,0.5224852071005917,0.0,0.7833333333333333,0.00024961151356406,128,0,nan,nan,nan,0.1,0.02,0.0008461169070667691
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,6,0.6193333333333333,0.7434709787368774,0.0,0.0,0.13633333333333314,0.42681962025316456,0.0,0.7833333333333333,0.00016590076324037798,128,0,nan,nan,nan,0.1,0.02,0.0005202969639665551
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,7,0.6599999999999999,0.4794936219851176,0.0,0.0,0.20823809523809506,0.4885714285714286,0.0,0.7833333333333333,0.00035802280259167936,128,0,nan,nan,nan,0.1,0.02,0.0009612153905133407
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,8,0.5693333333333332,0.366767089565595,-0.09066666666666667,-0.10264150943396225,0.2590416666666665,0.5460849056603774,0.0,0.7833333333333333,0.0009048966335286994,128,0,nan,nan,nan,0.1,0.02,0.003843789713250266
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,9,0.5159999999999999,1.4411627342303595,-0.14400000000000002,-0.1630188679245283,0.2905555555555554,0.5817610062893082,0.0,0.7833333333333333,0.0011351442026607014,128,0,nan,nan,nan,0.1,0.02,0.0031948317773640156
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,10,0.608,0.2993493417898814,-0.051999999999999935,-0.0588679245283018,0.3176999999999998,0.6124905660377358,0.0,0.7833333333333333,0.00030442006467363344,128,0,nan,nan,nan,0.1,0.02,0.0004886860131389565
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,11,0.3006666666666665,0.7791821082433065,-0.3593333333333334,-0.40679245283018867,0.3301212121212119,0.6265523156089194,0.0,0.7833333333333333,0.00028205834567858316,128,0,nan,nan,nan,0.1,0.02,0.0012933672405779362
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,12,0.6853333333333331,1.1803752680619557,0.0,0.0,0.34369444444444436,0.6240217657128883,0.0,0.7833333333333333,0.00024097702442886965,128,0,nan,nan,nan,0.1,0.02,0.0006184748684366544
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,13,0.7173333333333333,0.7109026243289311,0.0,0.0,0.3712051282051281,0.6320394700975849,0.0,0.7833333333333333,0.00034801851690099045,128,0,nan,nan,nan,0.1,0.02,0.0012217918410897255
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,14,0.34866666666666646,2.1101179301738737,-0.3686666666666668,-0.39192062367115527,0.38276190476190464,0.6443251999595019,0.0,0.7833333333333333,0.00032064952316899575,128,0,nan,nan,nan,0.1,0.02,0.001691351799915234
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,15,0.4513333333333332,0.8507564100126426,-0.26600000000000007,-0.2827781715095677,0.383911111111111,0.6455468934561776,0.0,0.7833333333333333,0.00102386628597953,128,0,nan,nan,nan,0.1,0.02,0.0018749495761262046
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,16,0.2493333333333331,1.2686842064062753,-0.4680000000000002,-0.4975194897236004,0.38181249999999983,0.64331591070163,0.0,0.7833333333333333,0.00016761764531281198,128,0,nan,nan,nan,0.1,0.02,0.0008075018413364887
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,17,0.31666666666666654,2.540859734018644,-0.4006666666666667,-0.4259390503189227,0.37599999999999983,0.6371367824238128,0.0,0.7833333333333333,0.000931110935148015,128,0,nan,nan,nan,0.1,0.02,0.003810511229352819
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,18,0.19533333333333314,4.054521894454956,-0.5220000000000001,-0.554925584691708,0.3693333333333332,0.630049610205528,0.0,0.7833333333333333,0.0007455035520631938,128,0,nan,nan,nan,0.1,0.02,0.0014642352859179177
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,19,0.4733333333333331,2.581723302602768,-0.24400000000000016,-0.25939050318922763,0.36749122807017526,0.6280913126188966,0.0,0.7833333333333333,0.002208857931767317,128,0,nan,nan,nan,0.1,0.02,0.004025214765634802
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,20,-0.018000000000000224,6.181601031621297,-0.7353333333333335,-0.781715095676825,0.3604999999999998,0.6206591070163006,0.0,0.7833333333333333,0.012225169010990997,128,0,nan,nan,nan,0.1,0.02,0.05274233527274595
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,21,0.07399999999999982,5.0592287421226505,-0.6433333333333334,-0.6839121190644932,0.3446666666666664,0.6038270729978739,0.0,0.7833333333333333,0.00804541164815364,128,0,nan,nan,nan,0.1,0.02,0.032349082382602826
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,22,-0.3460000000000003,5.804729421933492,-1.0633333333333335,-1.1304039688164422,0.3228181818181817,0.5806004767734039,0.0,0.7833333333333333,0.0021079504352506384,128,0,nan,nan,nan,0.1,0.02,0.007942362998922666
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,23,-0.15333333333333357,8.535762468973795,-0.8706666666666668,-0.9255846917080085,0.29792753623188395,0.5541398329892459,0.0,0.7833333333333333,0.006226929617292789,128,0,nan,nan,nan,0.1,0.02,0.031920366196168795
kl,fixed_rm_static_kl,0,10,full_rm,onehot,96,2,24,-0.14666666666666692,5.581559618314107,-0.8640000000000002,-0.9184975194897236,0.27926388888888865,0.5342989605480746,0.0,0.7833333333333333,0.0067457733846624165,128,0,nan,nan,nan,0.1,0.02,0.02703901333734393
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,0,-0.5840000000000002,-2.6402745246887207,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9.070654317613582e-05,128,0,nan,nan,nan,0.1,0.02,0.000310335722234514
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,1,0.08199999999999984,-5.662436501185099,0.0,0.0,-0.25100000000000017,0.5,0.0,0.8333333333333334,0.0005797183983860716,128,0,nan,nan,nan,0.1,0.02,0.0019144487774206533
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,2,0.2359999999999998,-2.3218817392985027,0.0,0.0,-0.04600000000000018,0.6560975609756098,0.0,0.8333333333333334,0.001844219309128342,128,0,nan,nan,nan,0.1,0.02,0.00832288298341963
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,3,0.14333333333333315,-2.1099033504724503,-0.09266666666666665,-0.1130081300813008,0.03255555555555538,0.7518970189701897,0.0,0.8333333333333334,0.0003921567919305905,128,0,nan,nan,nan,0.1,0.02,0.0007058852869603368
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,4,0.6113333333333331,-1.5556871583064398,0.0,0.0,0.1187499999999998,0.5879113218070273,0.0,0.8333333333333334,0.0011414100100006824,128,0,nan,nan,nan,0.1,0.02,0.005201869540744357
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,5,0.5679999999999998,-1.0164151291052501,-0.043333333333333224,-0.03625209146681531,0.21293333333333309,0.6667038482989404,0.0,0.8333333333333334,0.0001420537289348631,128,0,nan,nan,nan,0.1,0.02,0.00021958413223425546
kl,fixed_rm_static_kl,1,10,full_rm,onehot,96,2,6,0.5219999999999999,-1.350365976492564,-0.08933333333333315,-0.07473508087005006,0.2682777777777776,0.7130042758877115,0.0,0.8333333333333334,0.00022077987071308924,128,0,nan,nan,nan,0.1,0.02,0.0005430956371128559
