method,seed,grid_size,outer_iter,true_eval_return,learned_eval_return,reward_model_drift,reward_model_pref_accuracy,clip_epsilon,clip_eps_base,critic_error,approx_policy_kl,preference_dataset_size,rm_updated
fixed_rm,0,7,0,-0.2613333333333335,-1.6785002072652182,0.0,0.8,0.2,0.2,nan,0.00020902386124065363,128,0
fixed_rm,0,7,1,-0.012000000000000099,-0.31493476033210754,0.0,0.8,0.2,0.2,nan,7.837905155092899e-05,128,0
fixed_rm,0,7,2,-0.04133333333333346,-1.820353658994039,0.0,0.8,0.2,0.2,nan,9.676511190319648e-05,128,0
fixed_rm,0,7,3,0.14066666666666647,-1.285040271282196,0.0,0.8,0.2,0.2,nan,0.0001090575719446855,128,0
fixed_rm,0,7,4,0.31666666666666654,-0.8167024940252304,0.0,0.8,0.2,0.2,nan,0.00010470128681863885,128,0
fixed_rm,0,7,5,0.534,-0.8387603422005971,0.0,0.8,0.2,0.2,nan,0.00025407966322762434,128,0
fixed_rm,0,7,6,0.6386666666666667,0.025020235776901247,0.0,0.8,0.2,0.2,nan,4.975787861486817e-05,128,0
fixed_rm,0,7,7,0.6473333333333333,-0.5510554522275924,0.0,0.8,0.2,0.2,nan,0.00012426434041502195,128,0
fixed_rm,0,7,8,0.45399999999999996,-0.1768280824025472,0.0,0.8,0.2,0.2,nan,0.00011838372990200888,128,0
fixed_rm,0,7,9,0.19999999999999987,0.332716961701711,0.0,0.8,0.2,0.2,nan,0.00013329109368298564,128,0
fixed_rm,0,7,10,0.21999999999999986,0.6293192327022552,0.0,0.8,0.2,0.2,nan,0.00033447380860727555,128,0
fixed_rm,0,7,11,0.324,0.8329028149445852,0.0,0.8,0.2,0.2,nan,0.0005496438160057256,128,0
fixed_rm,0,7,12,0.3913333333333332,-0.336638601620992,0.0,0.8,0.2,0.2,nan,0.0002051768279672017,128,0
fixed_rm,0,7,13,0.6119999999999999,0.1822483003139496,0.0,0.8,0.2,0.2,nan,0.000538269111393815,128,0
fixed_rm,0,7,14,0.7486666666666666,1.602934177716573,0.0,0.8,0.2,0.2,nan,0.0014122739158969704,128,0
fixed_rm,0,7,15,0.44199999999999984,5.825403563181559,0.0,0.8,0.2,0.2,nan,0.004200795200207712,128,0
fixed_rm,0,7,16,0.4446666666666666,5.7481452902158106,0.0,0.8,0.2,0.2,nan,0.005824725486066721,128,0
fixed_rm,0,7,17,0.15533333333333318,7.393058391412099,0.0,0.8,0.2,0.2,nan,0.0012713911571458959,128,0
fixed_rm,0,7,18,0.12733333333333316,8.40384672085444,0.0,0.8,0.2,0.2,nan,0.001021307446232652,128,0
fixed_rm,0,7,19,0.09666666666666653,8.090812180439631,0.0,0.8,0.2,0.2,nan,0.0011925252132036473,128,0
