method,seed,grid_size,rm_variant,rm_input_mode,rm_hidden,rm_layers,outer_iter,true_eval_return,learned_eval_return,true_ndh,true_ndh_norm,reward_model_drift,reward_model_pref_accuracy,clip_epsilon,clip_eps_base,critic_error,approx_policy_kl,preference_dataset_size,rm_updated
fixed_rm,0,10,full_rm,onehot,96,2,0,-0.2233333333333336,-1.8885416408379874,0.0,0.0,0.0,0.7833333333333333,0.2,0.2,nan,0.00014047799889899435,128,0
fixed_rm,0,10,full_rm,onehot,96,2,1,-0.2593333333333336,-0.560210294276476,-0.035999999999999976,0.0,0.0,0.7833333333333333,0.2,0.2,nan,5.882516754244905e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,2,-0.06466666666666689,-1.5937240213155746,0.0,0.0,0.0,0.7833333333333333,0.2,0.2,nan,0.00039219177789272095,128,0
fixed_rm,0,10,full_rm,onehot,96,2,3,-0.28600000000000025,-1.9990964074929556,-0.22133333333333338,-1.394957983193277,0.0,0.7833333333333333,0.2,0.2,nan,7.340863602214555e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,4,-0.24866666666666692,-0.6735309739907582,-0.18400000000000005,-1.1596638655462184,0.0,0.7833333333333333,0.2,0.2,nan,2.2211257601230848e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,5,0.2866666666666664,-0.891387540102005,0.0,0.0,0.0,0.7833333333333333,0.2,0.2,nan,0.0002558329542871638,128,0
fixed_rm,0,10,full_rm,onehot,96,2,6,0.0399999999999998,-0.04586923321088155,-0.2466666666666666,-0.4836601307189541,0.0,0.7833333333333333,0.2,0.2,nan,0.0001816989587332982,128,0
fixed_rm,0,10,full_rm,onehot,96,2,7,0.4859999999999998,-0.09653888444105783,0.0,0.0,0.0,0.7833333333333333,0.2,0.2,nan,0.00013581820089337345,128,0
fixed_rm,0,10,full_rm,onehot,96,2,8,0.3739999999999999,-0.7544484376907349,-0.11199999999999993,-0.15789473684210517,0.0,0.7833333333333333,0.2,0.2,nan,4.9123488032154494e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,9,0.3659999999999999,0.4336316794157028,-0.11999999999999994,-0.16917293233082698,0.0,0.7833333333333333,0.2,0.2,nan,0.00041042537084175364,128,0
fixed_rm,0,10,full_rm,onehot,96,2,10,0.4273333333333331,0.134775044520696,-0.0586666666666667,-0.08270676691729327,0.0,0.7833333333333333,0.2,0.2,nan,7.012460835817413e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,11,0.24999999999999986,0.7891084869702657,-0.23599999999999996,-0.3327067669172932,0.0,0.7833333333333333,0.2,0.2,nan,0.0001257229308876241,128,0
fixed_rm,0,10,full_rm,onehot,96,2,12,0.6920000000000001,-0.5182251811027527,0.0,0.0,0.0,0.7833333333333333,0.2,0.2,nan,0.0002344975446503281,128,0
