method,seed,grid_size,rm_variant,rm_hidden,rm_layers,outer_iter,true_eval_return,learned_eval_return,true_ndh,true_ndh_norm,reward_model_drift,reward_model_pref_accuracy,clip_epsilon,clip_eps_base,critic_error,approx_policy_kl,preference_dataset_size,rm_updated
fixed_rm,0,10,broken_rm,8,1,0,-0.1726666666666669,-0.09141703049341837,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.00011577713762124982,128,0
fixed_rm,0,10,broken_rm,8,1,1,-0.34733333333333366,-0.10801481902599334,-0.17466666666666675,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.000164555471157124,128,0
fixed_rm,0,10,broken_rm,8,1,2,0.09133333333333313,0.14147218068440756,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.00017773101986527805,128,0
fixed_rm,0,10,broken_rm,8,1,3,0.09599999999999981,-0.08279457290967306,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.00023926929088709709,128,0
fixed_rm,0,10,broken_rm,8,1,4,0.5399999999999998,0.5024517407019933,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.0005804584698126639,128,0
fixed_rm,0,10,broken_rm,8,1,5,0.47866666666666646,0.3146562293171883,-0.06133333333333335,-0.08606173994387278,0.0,0.7333333333333333,0.2,0.2,nan,0.0003014821784039285,128,0
fixed_rm,0,10,broken_rm,8,1,6,0.6533333333333332,0.2641959403951963,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.00013858305874487085,128,0
fixed_rm,0,10,broken_rm,8,1,7,0.6566666666666665,0.2947605033715566,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.00010937740568645666,128,0
fixed_rm,0,10,broken_rm,8,1,8,0.4199999999999998,0.599583109219869,-0.2366666666666667,-0.2853697749196141,0.0,0.7333333333333333,0.2,0.2,nan,0.0008246942578328593,128,0
fixed_rm,0,10,broken_rm,8,1,9,0.7006666666666667,0.9182329217592875,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.0017411799697636028,128,0
fixed_rm,0,10,broken_rm,8,1,10,0.7113333333333335,0.9702731688817342,0.0,0.0,0.0,0.7333333333333333,0.2,0.2,nan,0.0004989035903439477,128,0
fixed_rm,0,10,broken_rm,8,1,11,0.6199999999999999,2.006913681825002,-0.0913333333333336,-0.10331825037707416,0.0,0.7333333333333333,0.2,0.2,nan,0.0018831079275717798,128,0
fixed_rm,0,10,broken_rm,8,1,12,0.21799999999999983,2.8718720585107804,-0.4933333333333336,-0.5580693815987935,0.0,0.7333333333333333,0.2,0.2,nan,0.0033322685376842545,128,0
fixed_rm,0,10,broken_rm,8,1,13,-0.046000000000000214,2.487260447939237,-0.7573333333333337,-0.8567119155354451,0.0,0.7333333333333333,0.2,0.2,nan,0.0024063303533370384,128,0
fixed_rm,0,10,broken_rm,8,1,14,-0.43866666666666704,1.9763745278120042,-1.1500000000000006,-1.3009049773755657,0.0,0.7333333333333333,0.2,0.2,nan,0.0016094282509585927,128,0
fixed_rm,0,10,broken_rm,8,1,15,-0.16666666666666696,2.4161920472979546,-0.8780000000000004,-0.993212669683258,0.0,0.7333333333333333,0.2,0.2,nan,0.0019388266774995272,128,0
fixed_rm,0,10,broken_rm,8,1,16,-0.2600000000000003,3.1376213411490124,-0.9713333333333338,-1.098793363499246,0.0,0.7333333333333333,0.2,0.2,nan,0.0033629203448982898,128,0
fixed_rm,0,10,broken_rm,8,1,17,-0.12600000000000028,3.5557939926783244,-0.8373333333333337,-0.9472096530920061,0.0,0.7333333333333333,0.2,0.2,nan,0.0006058497504128532,128,0
fixed_rm,0,10,broken_rm,8,1,18,-0.5113333333333338,4.3164071972171465,-1.2226666666666672,-1.3831070889894421,0.0,0.7333333333333333,0.2,0.2,nan,0.0009064056748307459,128,0
fixed_rm,0,10,broken_rm,8,1,19,-0.4540000000000004,5.033360589543978,-1.1653333333333338,-1.3182503770739065,0.0,0.7333333333333333,0.2,0.2,nan,0.00023977167370580385,128,0
fixed_rm,0,10,broken_rm,8,1,20,-0.4253333333333337,3.6910044054190316,-1.1366666666666672,-1.2858220211161389,0.0,0.7333333333333333,0.2,0.2,nan,0.0004668743482247298,128,0
fixed_rm,0,10,broken_rm,8,1,21,-0.3580000000000004,3.838342821598053,-1.069333333333334,-1.2096530920060333,0.0,0.7333333333333333,0.2,0.2,nan,0.0011042721057559952,128,0
fixed_rm,0,10,broken_rm,8,1,22,-0.27866666666666695,4.61069222688675,-0.9900000000000004,-1.1199095022624435,0.0,0.7333333333333333,0.2,0.2,nan,0.0011602948264784287,128,0
fixed_rm,0,10,broken_rm,8,1,23,-0.5326666666666671,4.563255866368611,-1.2440000000000007,-1.407239819004525,0.0,0.7333333333333333,0.2,0.2,nan,0.0006336265848986617,128,0
fixed_rm,0,10,broken_rm,8,1,24,-0.5573333333333337,5.018169419964154,-1.2686666666666673,-1.4351432880844648,0.0,0.7333333333333333,0.2,0.2,nan,0.0005722782894586208,128,0
fixed_rm,1,10,broken_rm,8,1,0,-0.5300000000000005,-0.3773530195156733,0.0,0.0,0.0,0.75,0.2,0.2,nan,0.0001238194284446443,128,0
fixed_rm,1,10,broken_rm,8,1,1,0.0906666666666665,-0.6039214057226976,0.0,0.0,0.0,0.75,0.2,0.2,nan,0.0002845050936458192,128,0
fixed_rm,1,10,broken_rm,8,1,2,-0.08933333333333356,0.08664009670416514,-0.18000000000000005,-0.2900107411385606,0.0,0.75,0.2,0.2,nan,0.00037616676672144126,128,0
fixed_rm,1,10,broken_rm,8,1,3,0.07066666666666646,0.1442724327246348,-0.020000000000000046,-0.032223415682062356,0.0,0.75,0.2,0.2,nan,0.0003998898570091077,128,0
fixed_rm,1,10,broken_rm,8,1,4,0.5166666666666665,0.27719663580258685,0.0,0.0,0.0,0.75,0.2,0.2,nan,0.0003381018888433735,128,0
fixed_rm,1,10,broken_rm,8,1,5,0.6533333333333332,0.4557521492242813,0.0,0.0,0.0,0.75,0.2,0.2,nan,0.00022805138256399974,128,0
fixed_rm,1,10,broken_rm,8,1,6,0.5393333333333332,0.6277345875898998,-0.11399999999999999,-0.09633802816901406,0.0,0.75,0.2,0.2,nan,0.0014782056904703023,128,0
fixed_rm,1,10,broken_rm,8,1,7,0.5066666666666665,0.7325955929855505,-0.14666666666666672,-0.12394366197183102,0.0,0.75,0.2,0.2,nan,0.0008472378278335895,128,0
fixed_rm,1,10,broken_rm,8,1,8,0.4939999999999999,0.9820809930562973,-0.15933333333333333,-0.13464788732394362,0.0,0.75,0.2,0.2,nan,0.0012324367184345345,128,0
fixed_rm,1,10,broken_rm,8,1,9,-0.35600000000000037,1.2783952673276266,-1.0093333333333336,-0.8529577464788733,0.0,0.75,0.2,0.2,nan,0.0014817444506562108,128,0
fixed_rm,1,10,broken_rm,8,1,10,-0.03800000000000024,2.1224682234227656,-0.6913333333333335,-0.584225352112676,0.0,0.75,0.2,0.2,nan,0.0010332284600610944,128,0
fixed_rm,1,10,broken_rm,8,1,11,0.09666666666666646,2.141961070895195,-0.5566666666666668,-0.4704225352112676,0.0,0.75,0.2,0.2,nan,0.0010839292576369695,128,0
fixed_rm,1,10,broken_rm,8,1,12,-0.5120000000000003,1.9151991536219914,-1.1653333333333336,-0.9847887323943662,0.0,0.75,0.2,0.2,nan,0.0006943221673183724,128,0
fixed_rm,1,10,broken_rm,8,1,13,-0.518666666666667,2.5531635959943135,-1.1720000000000002,-0.9904225352112676,0.0,0.75,0.2,0.2,nan,0.0009499724829680294,128,0
fixed_rm,1,10,broken_rm,8,1,14,-0.6000000000000003,2.7905352890491484,-1.2533333333333334,-1.0591549295774647,0.0,0.75,0.2,0.2,nan,0.001411378937569337,128,0
fixed_rm,1,10,broken_rm,8,1,15,-0.5300000000000005,2.854932380716006,-1.1833333333333336,-1.0,0.0,0.75,0.2,0.2,nan,0.0022988429949907766,128,0
fixed_rm,1,10,broken_rm,8,1,16,-0.4073333333333337,2.73632678737243,-1.0606666666666669,-0.8963380281690141,0.0,0.75,0.2,0.2,nan,0.00032440038002183743,128,0
fixed_rm,1,10,broken_rm,8,1,17,-0.418666666666667,2.254783005019029,-1.0720000000000003,-0.9059154929577465,0.0,0.75,0.2,0.2,nan,0.000835825596836099,128,0
fixed_rm,1,10,broken_rm,8,1,18,-0.42800000000000044,3.264251915862163,-1.0813333333333337,-0.9138028169014086,0.0,0.75,0.2,0.2,nan,0.0008444583838400385,128,0
fixed_rm,1,10,broken_rm,8,1,19,-0.6000000000000003,2.7689771513144175,-1.2533333333333334,-1.0591549295774647,0.0,0.75,0.2,0.2,nan,0.000697721699452872,128,0
fixed_rm,1,10,broken_rm,8,1,20,-0.4946666666666671,2.9924905478954313,-1.1480000000000004,-0.9701408450704226,0.0,0.75,0.2,0.2,nan,0.0026319349469128314,128,0
fixed_rm,1,10,broken_rm,8,1,21,-0.4993333333333337,3.336757946014404,-1.152666666666667,-0.9740845070422536,0.0,0.75,0.2,0.2,nan,0.0024942559452433384,128,0
fixed_rm,1,10,broken_rm,8,1,22,-0.4960000000000004,2.98740790138642,-1.1493333333333335,-0.9712676056338028,0.0,0.75,0.2,0.2,nan,0.0004950935567020938,128,0
fixed_rm,1,10,broken_rm,8,1,23,-0.506666666666667,3.381193761030833,-1.1600000000000001,-0.980281690140845,0.0,0.75,0.2,0.2,nan,0.0005938082118149527,128,0
fixed_rm,1,10,broken_rm,8,1,24,-0.49866666666666704,3.342719606558482,-1.1520000000000001,-0.9735211267605633,0.0,0.75,0.2,0.2,nan,0.0010928933505408701,128,0
fixed_rm,2,10,broken_rm,8,1,0,-0.15133333333333354,-1.2200423911213876,0.0,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.00021899190686113727,128,0
fixed_rm,2,10,broken_rm,8,1,1,-0.19266666666666696,-0.7629874467849731,-0.041333333333333416,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.0003416687388867653,128,0
fixed_rm,2,10,broken_rm,8,1,2,-0.08400000000000023,-0.29959807147582374,0.0,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.00014096975886945497,128,0
fixed_rm,2,10,broken_rm,8,1,3,0.19266666666666646,-0.020414906740188598,0.0,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.0003869669866201322,128,0
fixed_rm,2,10,broken_rm,8,1,4,0.4799999999999998,-0.18018407424290975,0.0,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.0004540310872854256,128,0
fixed_rm,2,10,broken_rm,8,1,5,0.4213333333333332,-0.11770482609669368,-0.05866666666666659,-0.0929250263991551,0.0,0.8833333333333333,0.2,0.2,nan,0.0008892749149760596,128,0
fixed_rm,2,10,broken_rm,8,1,6,0.5413333333333331,0.4620266243815422,0.0,0.0,0.0,0.8833333333333333,0.2,0.2,nan,0.0007291405004633297,128,0
fixed_rm,2,10,broken_rm,8,1,7,0.12933333333333316,0.3653495028614998,-0.4119999999999999,-0.5948026948989412,0.0,0.8833333333333333,0.2,0.2,nan,0.0015559223300746926,128,0
